SWN Append,KEYWORD,L,S,ADJ DEG,X,Z,QUADRANT,Sextant,Sector,Design ID (WindChill)
es9-dv243,SBEND,2.726077105,1036.76958,97.19077009,77.12226538,-611.2775024,NW,9,9,
es9-cm243.2,MULTIPOLE,0,1037.02798,97.21472676,77.3753129,-611.2251793,NW,9,9,
es9-dt243,MULTIPOLE,0,1037.02798,97.21472676,77.3753129,-611.2251793,NW,9,9,
es9-cm243.2,DRIFT,0.258400373,1037.02798,97.21472676,77.3753129,-611.2251793,NW,9,9,
es9-dt243,DRIFT,0.258400373,1037.02798,97.21472676,77.3753129,-611.2251793,NW,9,9,
es9-cm242.1,MULTIPOLE,0,1037.91938,97.29737079,78.24793921,-611.0431978,NW,9,9,
es9-dv242,MULTIPOLE,0,1037.91938,97.29737079,78.24793921,-611.0431978,NW,9,9,
es9-cm242.1,SBEND,0.891400429,1037.91938,97.29737079,78.24793921,-611.0431978,NW,9,9,
es9-dv242,SBEND,0.891400429,1037.91938,97.29737079,78.24793921,-611.0431978,NW,9,9,
es9-cm242.2,MULTIPOLE,0,1038.17778,97.32132807,78.50080742,-610.9900149,NW,9,9,
es9-dt242,MULTIPOLE,0,1038.17778,97.32132807,78.50080742,-610.9900149,NW,9,9,
es9-cm242.2,DRIFT,0.258400373,1038.17778,97.32132807,78.50080742,-610.9900149,NW,9,9,
es9-dt242,DRIFT,0.258400373,1038.17778,97.32132807,78.50080742,-610.9900149,NW,9,9,
es9-cm239,MULTIPOLE,0,1040.90386,97.5740652,81.16555718,-610.4150904,NW,9,9,
es9-dv239,MULTIPOLE,0,1040.90386,97.5740652,81.16555718,-610.4150904,NW,9,9,
es9-cm239,SBEND,2.726077105,1040.90386,97.5740652,81.16555718,-610.4150904,NW,9,9,
es9-dv239,SBEND,2.726077105,1040.90386,97.5740652,81.16555718,-610.4150904,NW,9,9,
es9-dt239,DRIFT,0.507,1041.41086,97.62106984,81.66059125,-610.3055903,NW,9,9,
es9-sx238,SEXTUPOLE,0.57,1041.98086,97.67392311,82.21713842,-610.1824837,NW,9,9,
es9-dt238,DRIFT,0.163,1042.14386,97.6890388,82.37629138,-610.1472795,NW,9,9,
es9-q237,QUADRUPOLE,0.5,1042.51886,97.72381669,82.74244084,-610.0662883,NW,9,9,
es9-dt237.1,DRIFT,0.064,1042.70786,97.74134608,82.92698016,-610.0254687,NW,9,9,
es9-ks237,VKICKER,0.2,1042.90786,97.75989666,83.12225987,-609.9822734,NW,9,9,
es9-cm237,MULTIPOLE,0,1043.20207,97.78718787,83.40953214,-609.9187296,NW,9,9,
es9-dt237.2,MULTIPOLE,0,1043.20207,97.78718787,83.40953214,-609.9187296,NW,9,9,
es9-cm237,DRIFT,0.294216192,1043.20207,97.78718787,83.40953214,-609.9187296,NW,9,9,
es9-dt237.2,DRIFT,0.294216192,1043.20207,97.78718787,83.40953214,-609.9187296,NW,9,9,
es9-cm234.1,MULTIPOLE,0,1045.92815,98.04004939,86.06816197,-609.3161378,NW,9,9,
es9-dv234,MULTIPOLE,0,1045.92815,98.04004939,86.06816197,-609.3161378,NW,9,9,
es9-cm234.1,SBEND,2.726077105,1045.92815,98.04004939,86.06816197,-609.3161378,NW,9,9,
es9-dv234,SBEND,2.726077105,1045.92815,98.04004939,86.06816197,-609.3161378,NW,9,9,
es9-cm234.2,MULTIPOLE,0,1046.18655,98.06401699,86.31987,-609.2577099,NW,9,9,
es9-dt234,MULTIPOLE,0,1046.18655,98.06401699,86.31987,-609.2577099,NW,9,9,
es9-cm234.2,DRIFT,0.258400373,1046.18655,98.06401699,86.31987,-609.2577099,NW,9,9,
es9-dt234,DRIFT,0.258400373,1046.18655,98.06401699,86.31987,-609.2577099,NW,9,9,
es9-cm233.1,MULTIPOLE,0,1047.07795,98.14669885,87.18783972,-609.0546766,NW,9,9,
es9-dv233,MULTIPOLE,0,1047.07795,98.14669885,87.18783972,-609.0546766,NW,9,9,
es9-cm233.1,SBEND,0.891400429,1047.07795,98.14669885,87.18783972,-609.0546766,NW,9,9,
es9-dv233,SBEND,0.891400429,1047.07795,98.14669885,87.18783972,-609.0546766,NW,9,9,
es9-cm233.2,MULTIPOLE,0,1047.33635,98.17066713,87.4393477,-608.9953934,NW,9,9,
es9-dt233,MULTIPOLE,0,1047.33635,98.17066713,87.4393477,-608.9953934,NW,9,9,
es9-cm233.2,DRIFT,0.258400373,1047.33635,98.17066713,87.4393477,-608.9953934,NW,9,9,
