Device abbr,atr_use,rhic_use,slot,ags_use,booster_use,linac_use,ebis_use,other,Description,Notes,New Device,EIC Lattice Keyword
sxd,0,1,0,0,0,0,0,0,"sextupole, defocusing polarity",,FALSE,
sxf,0,1,0,0,0,0,0,0,"sextupole, focusing polarity",,FALSE,
sxr,0,0,0,0,1,0,0,0,resonantly driven sextipole string,,FALSE,
sxs,0,1,0,0,0,0,0,0,skew sextupole,,FALSE,SKEW SEXTUPOLE
t,0,0,0,0,0,0,0,0,closed orbit corrector (both planes),,FALSE,
tb,1,0,0,0,0,0,0,0,terminal block,,FALSE,
tc,1,1,0,0,0,0,0,0,thermocouple gauge,,FALSE,
tgt,1,1,0,0,0,0,0,0,target (as in the g-2 pion production target),,FALSE,
th,1,1,0,0,0,0,0,0,horizontal closed orbit corrector,,FALSE,HKICKER
tmp,0,1,0,0,0,0,0,0,turbo molecular pump station,,FALSE,
tor,0,1,0,0,0,0,0,0,toroidal dipole magnet for polarimeter,,FALSE,
tq,0,1,0,0,0,0,0,0,trim quadrupole,,FALSE,
triplet,0,1,1,0,0,0,0,0,cryostat for D0's and triplet quadrupoles,,FALSE,
trp,0,1,1,0,0,0,0,0,trp corrector package,,FALSE,
tsp,0,1,0,0,0,0,0,0,titanium sublimation pump,,FALSE,
ttapb,1,0,0,0,0,0,0,0,thermal tap bottom (atr dipoles),,FALSE,
ttapt,1,0,0,0,0,0,0,0,thermal tap top (atr dipoles),,FALSE,
tv,1,1,0,0,0,0,0,0,vertical closed orbit corrector,,FALSE,VKICKER
twh,0,1,0,0,0,0,0,0,travelling wave cavity pickup for horizontal motion,,FALSE,
twv,0,1,0,0,0,0,0,0,travelling wave cavity pickup for vertical motion,,FALSE,
vv,0,0,0,0,0,0,0,0,vent valve,,FALSE,
wcm,0,1,0,0,0,0,0,0,wall current monitor,,FALSE,
wfb,0,0,0,0,0,0,0,0,Wien filter magnetic field,,FALSE,WIEN
wfe,0,0,0,0,0,0,0,0,Wien filter electric field plates,,FALSE,WIEN ELEC
wtc,0,1,0,0,0,0,0,0,warm to cold transition region,,FALSE,
xf,1,1,0,0,0,0,0,0,transformer,,FALSE,
xs,1,1,0,0,0,0,0,0,explosive gas sensor,,FALSE,
z,0,1,0,0,0,0,0,0,PASS sweep zone,,FALSE,
zcal,0,1,0,0,0,0,0,0,Zero degree calorimeter detector for luminosity monitoring,,FALSE,
td,,,,,,,,,"new, trim dipole",,TRUE,TRIM DIPOLE
Eslk,,,,,,,,,esr inject stripline kicker,,TRUE,
Hslk,,,,,,,,,,,,
